id,name,parkName,lat,lng,lga,tourismRegion,googleQuery,googleQueryUrl,,
creswick-r-p-slatey-creek-picnic-area-no-2-creswick-r-p,"Slatey Creek Picnic Area No 2, Creswick R.P.",Creswick R.P.,-37.46598102,143.9050061,HEPBURN SHIRE,Daylesford and Macedon Ranges,"Slatey Creek Picnic Area No 2, Creswick R.P. Creswick R.P. site:parks.vic.gov.au/places-to-see",,,
creswick-r-p-slatey-creek-picnic-area-no-3-creswick-r-p,"Slatey Creek Picnic Area No 3, Creswick R.P.",Creswick R.P.,-37.46766096,143.9085082,HEPBURN SHIRE,Daylesford and Macedon Ranges,"Slatey Creek Picnic Area No 3, Creswick R.P. Creswick R.P. site:parks.vic.gov.au/places-to-see",,,
croajingolong-national-park-clinton-rocks-croajingolong-national-park,"Clinton Rocks, Croajingolong National Park",Croajingolong National Park,-37.77683301,149.1985919,EAST GIPPSLAND SHIRE,Gippsland,"Clinton Rocks, Croajingolong National Park Croajingolong National Park site:parks.vic.gov.au/places-to-see",,,
croajingolong-national-park-gale-hill-croajingolong-national-park,"Gale Hill, Croajingolong National Park",Croajingolong National Park,-37.76976,149.4130061,EAST GIPPSLAND SHIRE,Gippsland,"Gale Hill, Croajingolong National Park Croajingolong National Park site:parks.vic.gov.au/places-to-see",,,
echuca-r-p-christies-beach-camping-area-echuca-r-p,"Christies Beach Camping Area, Echuca R.P",Echuca R.P,-36.10301103,144.810292,CAMPASPE SHIRE,Murray,"Christies Beach Camping Area, Echuca R.P Echuca R.P site:parks.vic.gov.au/places-to-see",,,
enfield-state-park-surface-point-picnic-ground-enfield-state-park,"Surface Point Picnic Ground, Enfield State Park",Enfield State Park,-37.76992596,143.7383261,GOLDEN PLAINS SHIRE,Geelong and the Bellarine,"Surface Point Picnic Ground, Enfield State Park Enfield State Park site:parks.vic.gov.au/places-to-see",,,
errinundra-national-park-bonang-river-errinundra-national-park,"Bonang River, Errinundra National Park",Errinundra National Park,-37.28518398,148.8063859,EAST GIPPSLAND SHIRE,Gippsland,"Bonang River, Errinundra National Park Errinundra National Park site:parks.vic.gov.au/places-to-see",,,
errinundra-national-park-tea-tree-flat-errinundra-national-park,"Tea Tree Flat, Errinundra National Park",Errinundra National Park,-37.2423532,148.8352486,EAST GIPPSLAND SHIRE,Gippsland,"Tea Tree Flat, Errinundra National Park Errinundra National Park site:parks.vic.gov.au/places-to-see",,,
ewing-morass-w-r-trident-arm-camping-area-lake-tyers-s-p,"Trident Arm Camping Area, Lake Tyers S.P.",Ewing Morass W.R,-37.82922486,148.1869699,EAST GIPPSLAND SHIRE,Gippsland,"Trident Arm Camping Area, Lake Tyers S.P. Ewing Morass W.R site:parks.vic.gov.au/places-to-see",,,
grampians-national-park-kalymna-falls-campground-grampians-national-park,"Kalymna Falls Campground, Grampians National Park",Grampians National Park,-37.323788,142.620792,ARARAT RURAL CITY,Grampians,"Kalymna Falls Campground, Grampians National Park Grampians National Park site:parks.vic.gov.au/places-to-see",https://www.parks.vic.gov.au/places-to-see/sites/kalymna-campground,,
grant-h-a-grant-historic-township-grant-h-a,"Grant Historic Township, Grant H.A.",Grant H.A.,-37.34358804,147.1546732,WELLINGTON SHIRE,Gippsland,"Grant Historic Township, Grant H.A. Grant H.A. site:parks.vic.gov.au/places-to-see",,,
grant-h-a-talbotville-historic-township-grant-h-a,"Talbotville Historic Township, Grant H.A.",Grant H.A.,-37.33465599,147.0666031,WELLINGTON SHIRE,Gippsland,"Talbotville Historic Township, Grant H.A. Grant H.A. site:parks.vic.gov.au/places-to-see",,,
heathcote-graytown-national-park-dargile-heathcote-graytown-national-park,"Dargile, Heathcote-Graytown National Park",Heathcote-Graytown National Park,-36.85185504,144.7435231,GREATER BENDIGO CITY,Goldfields,"Dargile, Heathcote-Graytown National Park Heathcote-Graytown National Park site:parks.vic.gov.au/places-to-see",,,
holey-plains-state-park-harrier-swamp-holey-plains-state-park,"Harrier Swamp, Holey Plains State Park",Holey Plains State Park,-38.20851702,146.8459019,WELLINGTON SHIRE,Gippsland,"Harrier Swamp, Holey Plains State Park Holey Plains State Park site:parks.vic.gov.au/places-to-see",,,
holey-plains-state-park-holey-hill-holey-plains-state-park,"Holey Hill, Holey Plains State Park",Holey Plains State Park,-38.23191702,146.93846,WELLINGTON SHIRE,Gippsland,"Holey Hill, Holey Plains State Park Holey Plains State Park site:parks.vic.gov.au/places-to-see",,,
kooyoora-state-park-melville-caves-camping-area-kooyoora-state-park,"Melville Caves Camping Area, Kooyoora State Park",Kooyoora State Park,-36.60116841,143.6982079,LODDON SHIRE,Goldfields,"Melville Caves Camping Area, Kooyoora State Park Kooyoora State Park site:parks.vic.gov.au/places-to-see",https://www.parks.vic.gov.au/places-to-see/sites/melville-caves-camping-area,,
lake-albacutya-park-o-t-i-t-from-fishers-lake-albacutya-park,"O.T.I.T. From Fishers, Lake Albacutya Park",Lake Albacutya Park,-35.72764461,141.9914754,HINDMARSH SHIRE,Grampians,"O.T.I.T. From Fishers, Lake Albacutya Park Lake Albacutya Park site:parks.vic.gov.au/places-to-see","https://www.parks.vic.gov.au/places-to-see/sites/o,-d-,t,-d-,i,-d-,t,-d-,-camping-area",,
lake-albacutya-park-western-beach-lake-albacutya-park,"Western Beach, Lake Albacutya Park",Lake Albacutya Park,-35.7796859,141.9349968,HINDMARSH SHIRE,Grampians,"Western Beach, Lake Albacutya Park Lake Albacutya Park site:parks.vic.gov.au/places-to-see",,,
lake-albacutya-park-yaapeet-beach-lake-albacutya-park,"Yaapeet Beach, Lake Albacutya Park",Lake Albacutya Park,-35.766711,142.0066066,HINDMARSH SHIRE,Grampians,"Yaapeet Beach, Lake Albacutya Park Lake Albacutya Park site:parks.vic.gov.au/places-to-see",https://www.parks.vic.gov.au/places-to-see/sites/yaapeet-beach-campground,,
lake-ratzcastle-l-r-lake-ratzcastle-lake-reserve-lake-ratzcastle-l-r,"Lake Ratzcastle Lake Reserve, Lake Ratzcastle L.R.",Lake Ratzcastle L.R.,-36.81193232,141.4659454,WEST WIMMERA SHIRE,Grampians,"Lake Ratzcastle Lake Reserve, Lake Ratzcastle L.R. Lake Ratzcastle L.R. site:parks.vic.gov.au/places-to-see",,,
